good.names,genus,family,order,vol_mean,shape_median,color_most,investment_mean,orn_height_mean
Glomus_pallidum,Glomus,Glomeraceae,Glomerales,69504.59587,0.743589744,2,0.466449376,0
Glomus_pellucidum,Glomus,Glomeraceae,Glomerales,319209.8119,0.886363636,2,0.63278202,0
Glomus_radiatum,Glomus,Glomeraceae,Glomerales,189920.2154,0.625,2,0.499739659,0
Glomus_reticulatum,Glomus,Glomeraceae,Glomerales,1720720.11,0.941176471,6,0.428295409,0
Glomus_segmentatum,Glomus,Glomeraceae,Glomerales,157336.5451,0.699615385,0,0.492055673,0
Glomus_spinosum,Glomus,Glomeraceae,Glomerales,79168.13487,0.8,6,0.601912011,15
Glomus_spinuliferum,Glomus,Glomeraceae,Glomerales,972008.767,0.916666667,4,0.500868323,2
Glomus_sterilum,Glomus,Glomeraceae,Glomerales,726397.0427,0.644736842,4,0.435793758,0
Glomus_tenebrosum,Glomus,Glomeraceae,Glomerales,7063085.683,0.905092593,5,0.402250694,0
Glomus_tetrastratosum,Glomus,Glomeraceae,Glomerales,766249.109,0.702205882,2,0.632709733,0
Glomus_trufemii,Glomus,Glomeraceae,Glomerales,330826.1624,0.876190476,4,0.600180385,0
Glomus_versiforme,Glomus,Glomeraceae,Glomerales,1744631.12,0.826388889,2,0.269412409,0
Glomus_warcupii,Glomus,Glomeraceae,Glomerales,9003804.545,0.90625,5,0.601167189,0
Halonatospora_pansihalos,Halonataspora,Glomeraceae,Glomerales,1080300.448,0.769230769,4,0.37962489,0.75
Intraornatospora_intraornata,Instraornatospora,Gigasporaceae,Diversisporales,4446673.51,0.894230769,2,0.449542641,0
Kamienskia_bistrata,Kamienskia,Glomeraceae,Glomerales,9421.898168,0.844827586,0,0.490781524,0
Kuklospora_spinosa,Kuklospora,Acaulosporaceae,Diversisporales,2957514.959,0.85,1,0.245939915,2.5
Microkamienskia_divaricata,Microkamienskia,Glomeraceae,Glomerales,3363.598534,0.727272727,0,0.551568054,0
Microkamienskia_perpusilla,Microkamienskia,Glomeraceae,Glomerales,4247.433268,0.708333333,0,0.588447639,0
Microkamienskia_peruviana,Microkamienskia,Glomeraceae,Glomerales,6045.384197,0.694444444,0,0.476411249,0
Nanoglomus_plukenetiae,Nanoglomus,Glomeraceae,Glomerales,10310.87726,0.8,0,0.476853336,0
Otospora_bareae,Otospora,Diversisporaceae,Diversisporales,2731167.572,0.9375,0,0.076751306,0
Pacispora_chimonobambusae,Pacispora,Pacisporaceae,Diversisporales,1564567.683,0.902777778,1,0.295555455,12
Pacispora_coralloidae,Pacispora,Pacisporaceae,Diversisporales,1070932.912,0.901639344,1,0.440977422,3.5
Pacispora_franciscana,Pacispora,Pacisporaceae,Diversisporales,1215262.09,0.850877193,1,0.345621522,0
Pacispora_patagonica,Pacispora,Pacisporaceae,Diversisporales,1000492.54,0.860294118,1,NA,3
Pacispora_robigina,Pacispora,Pacisporaceae,Diversisporales,1045312.596,0.8,5,0.510063294,0
Pacispora_scintillans,Pacispora,Pacisporaceae,Diversisporales,3806137.675,0.964285714,1,0.197159079,1.6
Archaeospora_spainii_morphA,Archaeospora,Archaeosporaceae,Archaeosporales,138521.0231,0.88125,1,0.863031102,0
Archaeospora_spainii_morphG,Archaeospora,Archaeosporaceae,Archaeosporales,11642.88418,0.818827302,0,0.330883264,0
Paradentiscutata_bahiana,Paradentiscutata,Gigasporaceae,Diversisporales,5802925.239,0.932692308,5,0.321786134,2
Paradentiscutata_maritima,Paradentiscutata,Gigasporaceae,Diversisporales,4446673.51,0.894230769,4,0.401445074,2
Paraglomus_albidum,Paraglomus,Glomeraceae,Glomerales,840825.4266,0.782738095,1,0.208375471,0
Paraglomus_bolivianum,Paraglomus,Paraglomeraceae,Paraglomerales,286079.9175,0.934210526,4,0.494697563,0
Paraglomus_brasilianum,Paraglomus,Paraglomeraceae,Paraglomerales,126586.549,0.791666667,0,0.321285412,0.3
Paraglomus_laccatum,Paraglomus,Paraglomeraceae,Paraglomerales,229337.0491,0.787356322,0,0.519934208,0
Innospora_majewskii,Innospora,Paraglomeraceae,Paraglomerales,85666.51927,0.777777778,0,0.460652504,0
Paraglomus_occidentale,Paraglomus,Paraglomeraceae,Paraglomerales,182021.3258,0.855072464,0,0.417690944,0
Paraglomus_occultum,Paraglomus,Paraglomeraceae,Paraglomerales,165574.4992,0.916666667,1,0.19732706,0
Paraglomus_pernabucanum,Paraglomus,Paraglomeraceae,Paraglomerales,204876.9734,0.789473684,1,0.266586273,0.8
Paraglomus_turpe,Paraglomus,Paraglomeraceae,Paraglomerales,30345.94153,0.845982143,0,0.704661189,0
Pervetustus_simplex,Pervetustus,Pervetustaceae,Paraglomerales,38586.61177,0.666666667,0,0.737751443,0
Racocetra_alborosea,Racocetra,Gigasporaceae,Diversisporales,7538425.68,0.927700348,0,0.249927439,0
Racocetra_beninensis,Racocetra,Gigasporaceae,Diversisporales,9504114.084,0.9140625,1,0.329374868,2.1
Racocetra_castanea,Racocetra,Gigasporaceae,Diversisporales,10548267.34,0.841672776,1,0.544534688,0
Racocetra_coralloidea,Racocetra,Gigasporaceae,Diversisporales,24817612.85,0.828706273,5,0.181660373,2
Racocetra_crispa,Racocetra,Gigasporaceae,Diversisporales,37888739.95,0.895874263,6,0.264342598,9.5
Racocetra_fulgida,Racocetra,Gigasporaceae,Diversisporales,4150742.027,0.897959184,1,0.249744813,0
Racocetra_gregaria,Racocetra,Gigasporaceae,Diversisporales,22028523.84,0.889508929,5,0.224048531,7.5
Racocetra_minuta,Racocetra,Gigasporaceae,Diversisporales,1383259.488,0.884722222,5,0.20886181,3
Racocetra_persica,Racocetra,Gigasporaceae,Diversisporales,16631772.15,0.8671875,4,0.134955123,0.375
Racocetra_tropicana,Racocetra,Gigasporaceae,Diversisporales,5569679.71,0.876613704,2,0.239815034,0
Racocetra_undulata,Racocetra,Gigasporaceae,Diversisporales,4758629.297,0.966666667,2,0.183716591,0
Racocetra_verrucosa,Racocetra,Gigasporaceae,Diversisporales,22529536.57,0.865546218,2,0.203583487,1
Racocetra_weresubiae,Racocetra,Gigasporaceae,Diversisporales,6537303.688,0.640096618,0,0.418295771,0
