good.names,order,family,genus,color_low,color_most,color_high,orn_height_min,orn_height_mean,orn_height_max,orn_diam_min,orn_diam_mean,orn_diam_max,min_wall_thickness,mean_wall_thickness,max_wall_thickness,dim1.min2,dim1.min,dim1.max,dim1.max2,dim2.min2,dim2.min,dim2.max,dim2.max2
Glomus_cuneatum,Glomerales,Glomeraceae,Glomus,0,5,6,0,0,0,0,0,0,8,10,12,70,70,120,120,180,180,180,180
Glomus_delhiense,Glomerales,Glomeraceae,Glomus,2,5,5,0,0,0,0,0,0,10,11,12,100,100,125,125,100,100,125,125
Glomus_dimorphicum,Glomerales,Glomeraceae,Glomus,2,4,5,0,0,0,0,0,0,5,11,17,90,90,300,300,90,90,300,300
Glomus_flavisporum,Glomerales,Glomeraceae,Glomus,2,5,5,0,0,0,0,0,0,4,7,10,149,149,202,202,95,95,152,152
Glomus_formosanum,Glomerales,Glomeraceae,Glomus,2,4,5,0,0,0,0,0,0,5.5,9,12.5,65,65,117,117,65,65,117,117
Glomus_fuegianum,Glomerales,Glomeraceae,Glomus,4,5,5,0,0,0,0,0,0,9,14.5,20,50,50,85,85,50,50,85,85
Glomus_glomerulatum,Glomerales,Glomeraceae,Glomus,2,2,5,0,0,0,0,0,0,4.5,7,9.5,40,40,70,70,40,40,70,70
Glomus_goaensis,Glomerales,Glomeraceae,Glomus,0,0,2,0,0,0,0,0,0,2,6,10,40,40,150,150,40,40,150,150
Glomus_halonatum,Glomerales,Glomeraceae,Glomus,5,5,5,0,0,0,0,0,0,18,26.5,35,200,200,280,280,200,200,280,280
Glomus_herrerae,Glomerales,Glomeraceae,Glomus,3,4,5,0,0,0,0,0,0,12,21,30,100,100,208,208,100,100,208,208
Glomus_heterosporum,Glomerales,Glomeraceae,Glomus,5,5,5,0,0,0,0,0,0,5,11,17,99,99,206,206,61,61,201,201
Glomus_hoi,Glomerales,Glomeraceae,Glomus,5,5,5,0,0,0,0,0,0,3,6,9,50,80,120,155,45,75,120,140
Glomus_hyderabadensis,Glomerales,Glomeraceae,Glomus,2,4,5,1.1,1.7,2.4,1,,1.5,3.3,4.6,5.9,97,97,136,136,97,97,136,136
Glomus_ibericum,Glomerales,Glomeraceae,Glomus,2,2,2,0,0,0,0,0,0,3.2,9.1,15,57.9,57.9,120.4,120.4,57.9,57.9,120.4,120.4
